% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 12:28
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
3.4513679255951466E-5     2.793035487635293E-11
3.468374813274623E-5      2.7928946903378157E-11
3.4853817009540994E-5     2.7927532005808848E-11
3.502388588633576E-5      2.7926110183080548E-11
3.519395476313052E-5      2.7924681435193236E-11
3.5364023639925286E-5     2.7923245762146928E-11
3.553409251672005E-5      2.7921803163941626E-11
3.5704161393514813E-5     2.7920353640577322E-11
3.587423027030958E-5      2.7918897191782305E-11
3.604429914710434E-5      2.7917433816936327E-11
3.6214368023899105E-5     2.7915963516039373E-11
3.638443690069387E-5      2.7914486289091454E-11
3.655450577748863E-5      2.791300213609257E-11
3.672457465428339E-5      2.7911511057042718E-11
3.6894643531078154E-5     2.791001305162223E-11
3.706471240787292E-5      2.790850811915048E-11
3.7234781284667675E-5     2.7906996259627478E-11
3.740485016146244E-5      2.790547747305323E-11
3.7574919038257195E-5     2.7903951759427723E-11
3.774498791505196E-5      2.7902419118750966E-11
3.791505679184672E-5      2.7900879550653738E-11
3.808512566864148E-5      2.789933305439144E-11
3.8255194545436244E-5     2.7897779629964065E-11
3.842526342223101E-5      2.789621927737162E-11
3.8595332299025765E-5     2.78946519966141E-11
3.876540117582053E-5      2.7893077787691513E-11
3.893547005261529E-5      2.7891496650179954E-11
3.910553892941006E-5      2.7889908583265722E-11
3.927560780620482E-5      2.7888313586948824E-11
3.9445676682999584E-5     2.7886711661229258E-11
3.961574555979435E-5      2.788510280610703E-11
3.978581443658911E-5      2.7883487021582132E-11
3.995588331338387E-5      2.788186430716865E-11
4.012595219017863E-5      2.788023466197622E-11
4.02960210669734E-5       2.787859808600483E-11
4.0466089943768154E-5     2.787695457925449E-11
4.063615882056292E-5      2.78753041417252E-11
4.0806227697357675E-5     2.787364677341695E-11
4.097629657415244E-5      2.7871982473774032E-11
4.11463654509472E-5       2.7870311241821517E-11
4.1316434327741966E-5     2.7868633077559407E-11
4.148650320453673E-5      2.7866947980987702E-11
4.165657208133149E-5      2.7865255952106405E-11
4.182664095812625E-5      2.7863556990915514E-11
4.1996709834921015E-5     2.786185109678227E-11
4.216677871171578E-5      2.7860138268639855E-11
4.233684758851054E-5      2.785841850648827E-11
4.2506916465305307E-5     2.785669181032751E-11
4.267698534210007E-5      2.785495818015759E-11
4.2847054218894834E-5     2.785321761597849E-11
4.30171230956896E-5       2.7851470117075304E-11
4.3187191972484355E-5     2.784971568228206E-11
4.335726084927912E-5      2.7847954311598757E-11
4.3527329726073876E-5     2.7846186005025395E-11
4.369739860286864E-5      2.7844410762561978E-11
4.38674674796634E-5       2.7842628584208498E-11
4.403753635645816E-5      2.7840839469165302E-11
4.4207605233252925E-5     2.7839043416157562E-11
4.437767411004769E-5      2.7837240425185292E-11
4.454774298684245E-5      2.7835430496248484E-11
4.471781186363721E-5      2.783361362934714E-11
4.4887880740431973E-5     2.7831789824481262E-11
4.505794961722674E-5      2.7829959080755034E-11
4.52280184940215E-5       2.7828121396776833E-11
4.539808737081626E-5      2.7826276772546646E-11
4.556815624761102E-5      2.782442520806449E-11
4.5738225124405786E-5     2.7822566703330358E-11
4.590829400120055E-5      2.7820701258344252E-11
4.6078362877995314E-5     2.7818828872103702E-11
4.624843175479008E-5      2.781694954310031E-11
4.641850063158484E-5      2.781506327133408E-11
4.65885695083796E-5       2.7813170056805016E-11
4.675863838517436E-5      2.7811269899513115E-11
4.6928707261969126E-5     2.780936279945838E-11
4.709877613876389E-5      2.7807448755595584E-11
