% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:51
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
1.60107694595982E-4       3.913772499996382E-11
1.6053549981128481E-4     3.875556755495632E-11
1.6096330502658764E-4     3.837430163822622E-11
1.6139111024189047E-4     3.7993927249773533E-11
1.6181891545719325E-4     3.761444438959825E-11
1.6224672067249608E-4     3.7235853057700374E-11
1.6267452588779888E-4     3.685819023182237E-11
1.6310233110310168E-4     3.648149107215001E-11
1.6353013631840448E-4     3.6105755578683275E-11
1.6395794153370728E-4     3.573098375142217E-11
1.6438574674901009E-4     3.535717559036671E-11
1.6481355196431292E-4     3.498433109551687E-11
1.6524135717961572E-4     3.461245026687267E-11
1.6566916239491852E-4     3.4241569288790295E-11
1.6609696761022132E-4     3.387172245314842E-11
1.665247728255241E-4      3.350290975994704E-11
1.6695257804082692E-4     3.313513120918616E-11
1.6738038325612973E-4     3.276838680086578E-11
1.6780818847143253E-4     3.240267653498589E-11
1.6823599368673533E-4     3.2038000411546507E-11
1.6866379890203816E-4     3.167439377406078E-11
1.6909160411734093E-4     3.131189000114543E-11
1.6951940933264374E-4     3.095048909280048E-11
1.6994721454794657E-4     3.059019104902591E-11
1.7037501976324937E-4     3.023099586982173E-11
1.7080282497855217E-4     2.9872903555187935E-11
1.7123063019385497E-4     2.951591410512453E-11
1.716584354091578E-4      2.9160061976264003E-11
1.7208624062446057E-4     2.8805379590145074E-11
1.7251404583976338E-4     2.8451866946767717E-11
1.7294185105506618E-4     2.8099524046131952E-11
1.73369656270369E-4       2.7748350888237778E-11
1.737974614856718E-4      2.739834747308518E-11
1.742252667009746E-4      2.7049513800674178E-11
1.7465307191627744E-4     2.6701883395920388E-11
1.7508087713158024E-4     2.6355487680768664E-11
1.7550868234688304E-4     2.6010326655219E-11
1.7593648756218587E-4     2.5666400319271408E-11
1.7636429277748868E-4     2.5323708672925882E-11
1.767920979927915E-4      2.4982251716182417E-11
1.772199032080943E-4      2.4642029449041022E-11
1.776477084233971E-4      2.430307442113539E-11
1.780755136386999E-4      2.3965417013667214E-11
1.785033188540027E-4      2.362905722663649E-11
1.7893112406930551E-4     2.3293995060043225E-11
1.793589292846083E-4      2.2960230513887424E-11
1.7978673449991112E-4     2.2627763588169067E-11
1.802145397152139E-4      2.229659428288817E-11
1.806423449305167E-4      2.1966754130157157E-11
1.810701501458195E-4      2.163827243068531E-11
1.8149795536112233E-4     2.1311149184472624E-11
1.8192576057642513E-4     2.0985384391519106E-11
1.8235356579172793E-4     2.066097805182476E-11
1.8278137100703073E-4     2.0337930165389573E-11
1.8320917622233353E-4     2.0016240732213554E-11
1.8363698143763634E-4     1.969594022602649E-11
1.8406478665293914E-4     1.9377056828699043E-11
1.8449259186824194E-4     1.905959054023122E-11
1.8492039708354474E-4     1.874354136062302E-11
1.8534820229884757E-4     1.8428909289874445E-11
1.8577600751415034E-4     1.8115694327985482E-11
1.8620381272945317E-4     1.7803896474956147E-11
1.86631617944756E-4       1.749354510666218E-11
1.870594231600588E-4      1.718466724922243E-11
1.874872283753616E-4      1.687726290263689E-11
1.879150335906644E-4      1.657133206690557E-11
1.8834283880596726E-4     1.6266874742028467E-11
1.8877064402127007E-4     1.5963890928005566E-11
1.8919844923657287E-4     1.5662380624836888E-11
1.8962625445187567E-4     1.5362372072500104E-11
1.9005405966717847E-4     1.5063891105895104E-11
1.9048186488248125E-4     1.4766937725021878E-11
1.9090967009778408E-4     1.447151192988043E-11
1.9133747531308685E-4     1.4177613720470762E-11
1.9176528052838965E-4     1.3885243096792866E-11
1.9219308574369245E-4     1.3594400058846752E-11
1.9262089095899528E-4     1.3305111674093573E-11
1.9304869617429806E-4     1.301740255223889E-11
1.9347650138960086E-4     1.2731272693282695E-11
1.939043066049037E-4      1.2446722097224991E-11
1.943321118202065E-4      1.2163750764065785E-11
1.947599170355093E-4      1.1882358693805063E-11
1.951877222508121E-4      1.1602545886442838E-11
1.9561552746611492E-4     1.1324338201776625E-11
1.960433326814177E-4      1.1047758991837269E-11
1.964711378967205E-4      1.0772808256624776E-11
1.968989431120233E-4      1.0499485996139139E-11
