% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:45
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
1.2170212765957441E-4     1.7978882680165434E-11
1.2212765957446802E-4     1.7920116199459347E-11
1.2255319148936163E-4     1.7861262078898382E-11
1.2297872340425524E-4     1.7802320318482547E-11
1.2340425531914888E-4     1.774329091821184E-11
1.238297872340425E-4      1.7684173878086253E-11
1.242553191489361E-4      1.76249691981058E-11
1.246808510638297E-4      1.7565680915238963E-11
1.2510638297872332E-4     1.7506313511802947E-11
1.2553191489361694E-4     1.7446866987797754E-11
1.2595744680851055E-4     1.738734134322339E-11
1.2638297872340416E-4     1.7327736578079848E-11
1.268085106382978E-4      1.7268052692367132E-11
1.272340425531914E-4      1.7208289686085238E-11
1.2765957446808505E-4     1.7148451663474352E-11
1.2808510638297863E-4     1.7088543150154835E-11
1.2851063829787224E-4     1.702856414612668E-11
1.2893617021276588E-4     1.6968514651389887E-11
1.293617021276595E-4      1.690839466594447E-11
1.297872340425531E-4      1.684820418979041E-11
1.302127659574467E-4      1.678794322292772E-11
1.3063829787234032E-4     1.6727615931556963E-11
1.3106382978723396E-4     1.666722687885145E-11
1.3148936170212755E-4     1.660677606481118E-11
1.3191489361702118E-4     1.6546263489436156E-11
1.3234042553191482E-4     1.6485689152726375E-11
1.3276595744680843E-4     1.6425053054681833E-11
1.3319148936170205E-4     1.6364355195302537E-11
1.3361702127659568E-4     1.6303599797350174E-11
1.340425531914893E-4      1.6242791455759498E-11
1.344680851063829E-4      1.6181930170530517E-11
1.3489361702127652E-4     1.612101594166323E-11
1.3531914893617016E-4     1.6060048769157637E-11
1.3574468085106377E-4     1.5999028653013732E-11
1.3617021276595738E-4     1.5937955593231528E-11
1.36595744680851E-4       1.5876833863657437E-11
1.370212765957446E-4      1.5815668085163447E-11
1.374468085106382E-4      1.5754458257749555E-11
1.3787234042553182E-4     1.5693204381415773E-11
1.3829787234042546E-4     1.563190645616209E-11
1.3872340425531907E-4     1.5570564481988508E-11
1.3914893617021268E-4     1.5509178458895034E-11
1.395744680851063E-4      1.5447752706268996E-11
1.399999999999999E-4      1.5386291865072218E-11
1.4042553191489352E-4     1.5324795935304697E-11
1.4085106382978716E-4     1.5263264916966436E-11
1.4127659574468077E-4     1.5201698810057442E-11
1.4170212765957438E-4     1.5140097614577698E-11
1.42127659574468E-4       1.507846133052722E-11
1.4255319148936163E-4     1.501679431723225E-11
1.429787234042552E-4      1.49551012298833E-11
1.4340425531914882E-4     1.489338206848037E-11
1.4382978723404246E-4     1.483163683302346E-11
1.4425531914893607E-4     1.476986552351258E-11
1.446808510638297E-4      1.4708068139947715E-11
1.4510638297872332E-4     1.4646244682328872E-11
