% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:43
% Dimension:          1
% Nodes:              555
% Expressions:        2
% Description:        Global
% f (Hz)                  ,                        , 
499999.99999999994        1.4669705905212127E-11   2.2068745114679816E-12
503852.4070680516         1.4140514836215456E-11   2.119687135302353E-12
507734.4962165402         1.3636715852087544E-11   2.0444229135185404E-12
511646.4961403767         1.3155804531963478E-11   1.9797960214527715E-12
515588.6372965279         1.2695511360368789E-11   1.9248088007821484E-12
519561.1519175845         1.2253765926607236E-11   1.878710546731998E-12
523564.2740254492         1.1828664706591844E-11   1.8409687508000804E-12
527598.2394451202         1.1418441939069744E-11   1.811251112607076E-12
531663.2858185802         1.1021443125803812E-11   1.789417461410944E-12
535759.6526188034         1.0636100765179046E-11   1.7755215148045896E-12
539887.5811638546         1.0260912079992404E-11   1.769823239167168E-12
544047.3146311137         9.894418764832884E-12    1.7728135693699311E-12
548239.0980715925         9.535189239202245E-12    1.7852545324077458E-12
552463.178424379          9.181804713555013E-12    1.8082395963165645E-12
556719.8045311809         8.832851865851887E-12    1.8432816177349065E-12
561009.2271509814         8.486927677722745E-12    1.8924395100154783E-12
565331.6989748199         8.14266713665562E-12     1.958500303133082E-12
569687.4746406684         7.7988143252212E-12      2.0452414132875437E-12
574076.8107484408         7.454376383782853E-12    2.1578094883767757E-12
578499.9658751057         7.1089370252515894E-12   2.3032670757861646E-12
582957.2005899155         6.763280084544182E-12    2.4913724658241213E-12
587448.777469765          6.420620665014774E-12    2.7356529733285883E-12
591974.9611146507         6.089030495201674E-12    3.054743056142938E-12
596536.0181632673         5.786179784143855E-12    3.4735813873889157E-12
601132.2173087065         5.54833480630937E-12     4.02279867795484E-12
605763.8293142937         5.445925262905554E-12    4.730983934001933E-12
610431.1270295358         5.603570752025423E-12    5.596173293687101E-12
615134.3854061905         6.198519813932998E-12    6.514480217658551E-12
619873.8815144727         7.35480793587517E-12     7.182454543431137E-12
624649.8945593665         8.882428307279602E-12    7.162510228555446E-12
629462.705897083          1.0207296762170777E-11   6.309044966690643E-12
634312.59905163           1.0875401390017404E-11   5.0134761918965316E-12
639199.8597315114         1.0917834716188981E-11   3.76816621374156E-12
644124.7758465674         1.059906865711238E-11    2.7932663800893295E-12
649087.6375249244         1.0136333468484929E-11   2.09407572740318E-12
654088.7371300963         9.64526604975663E-12     1.6066975133235187E-12
659128.3692782036         9.174845563451722E-12    1.2672054397253796E-12
