% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 26 2025, 17:26
% Dimension:          1
% Nodes:              593
% Expressions:        2
% Description:        Global
% freq (Hz)               Re xi all, Im xi all     Re xi all, Im xi all
285240.53458488476        2.963124546948323E-11    3.09698233613858E-11
290766.6380708613         2.8948032095102143E-11   2.7286912369590367E-11
296399.80144502065        2.8012696025401974E-11   2.404598848017823E-11
302142.0988306001         2.6916430977430836E-11   2.121106523560576E-11
307995.6445338365         2.5727237182724455E-11   1.8739901287897597E-11
313962.59382244654        2.4494447996501947E-11   1.6589344316451547E-11
320045.143719198          2.3252953817671725E-11   1.471835811347797E-11
326245.53381084674        2.2026772981421816E-11   1.3089526780866705E-11
332566.0470727508         2.0831904210259093E-11   1.1669622793724168E-11
339009.0107094616         1.9678524149795476E-11   1.0429634216006126E-11
345576.79701159213        1.8572640657891537E-11   9.344506157804806E-12
352271.8242292972         1.751731591704715E-11    8.392751021827808E-12
359096.55746266415        1.6513560326783378E-11   7.55601781358141E-12
366053.509569365          1.5560979887200287E-11   6.818669970816856E-12
373145.24208988174        1.465824075407025E-11    6.167395952410245E-12
380374.3661906677         1.3803400498005844E-11   5.5908633897669965E-12
387743.5436255698         1.2994141471540371E-11   5.079418176543064E-12
395255.4877158888         1.2227933928275522E-11   4.624827206179803E-12
402912.96434941445        1.1502147702452102E-11   4.220060159101741E-12
410718.79299882776        1.0814127034449213E-11   3.859105993392898E-12
418675.84775982087        1.0161238476122182E-11   3.536819267119827E-12
426787.0584093418         9.540899204165432E-12    3.2487920920222404E-12
435055.4114843276         8.950591022142128E-12    2.9912479801194897E-12
443483.9513813501         8.387863399181717E-12    2.7609543286000224E-12
452075.78147755284        7.850327974133394E-12    2.555151049088081E-12
460834.0652733126         7.335646008708247E-12    2.3714933780112456E-12
469762.02755703917        6.841509180611944E-12    2.208007420162095E-12
478862.9555925313         6.365613696876666E-12    2.063057784505127E-12
488140.2003293507         5.9056269761071954E-12   1.935327346982693E-12
497597.1776366294         5.459144762664581E-12    1.8238100415543847E-12
499999.99999999994        5.348880983145674E-12    1.798271278967334E-12
502886.5315008695         5.2179686672927255E-12   1.7690237849347825E-12
505789.7271299491         5.0879129983001285E-12   1.7411501908964016E-12
508709.68309030274        4.958639232722853E-12    1.714643182313672E-12
511646.4961403767         4.830070426336097E-12    1.689498576366674E-12
514600.26359721425        4.7021271613383454E-12   1.6657154912305051E-12
517571.08333967143        4.574727269659651E-12    1.6432965458297858E-12
520559.05381166976        4.447785506441388E-12    1.6222480920136168E-12
523564.2740254492         4.321213222944944E-12    1.6025804885965597E-12
526586.843564858          4.194917964202046E-12    1.584308411248293E-12
529626.8625886448         4.068803077907681E-12    1.5674512214440996E-12
532684.4318337814         3.942767216066967E-12    1.5520333820521902E-12
535759.6526188034         3.816703866968624E-12    1.5380849530749438E-12
538852.6268471606         3.690500756518092E-12    1.5256421469457947E-12
541963.4570106019         3.564039230260166E-12    1.5147479908982787E-12
545092.2461925633         3.437193566311293E-12    1.5054530811614175E-12
548239.0980715925         3.309830174417018E-12    1.4978164666489986E-12
551404.1169247765         3.181806773896919E-12    1.4919066771563348E-12
554587.4076312004         3.0529713824164792E-12   1.4878029179466762E-12
557789.0756754265         2.9231612688512003E-12   1.485596475343877E-12
561009.2271509814         2.792201749738742E-12    1.4853923539817176E-12
564247.968763881          2.659904814757253E-12    1.4873112120500258E-12
567505.4078361571         2.5260676698856503E-12   1.4914916409613165E-12
570781.6523094228         2.3904709966163096E-12   1.4980928583707897E-12
574076.8107484408         2.2528771243223714E-12   1.507297915914609E-12
577390.992344729          2.1130278705054963E-12   1.5193175140136381E-12
580724.3069201718         1.970642246561495E-12    1.53439457400912E-12
584076.8649306621         1.825413808211647E-12    1.5528097300197504E-12
587448.777469765          1.6770077948975942E-12   1.5748879551328906E-12
590840.1562723914         1.525057970903071E-12    1.601006594071707E-12
594251.1137185093         1.3691631457758887E-12   1.6316051529024796E-12
597681.7628368587         1.208883522225734E-12    1.6671972592997883E-12
601132.2173087065         1.0437368487722137E-12   1.7083853888341314E-12
604602.5914716035         8.731944668672972E-13    1.7558790571725474E-12
608093.0003231838         6.966776893046878E-13    1.8105173964075778E-12
611603.5595249662         5.135547257104039E-13    1.8732973570879905E-12
615134.3854061905         3.2313883280923304E-13   1.945409070723607E-12
618685.5949676766         1.2468889252268547E-13   2.028280403050932E-12
622257.3058856921         -8.258607192003436E-14   2.1236333354217477E-12
625849.6365158627         -2.9951566600491894E-13  2.233555543644485E-12
629462.705897083          -5.269459001572197E-13   2.360591434147237E-12
633096.633755472          -7.656994656944491E-13   2.5078580001948405E-12
636751.5405083314         -1.0165075670604031E-12  2.6791916575401796E-12
640427.5472681391         -1.2798968845886682E-12  2.879332871807282E-12
644124.7758465674         -1.556004980804183E-12   3.114153985771998E-12
647843.3487585094         -1.844283218981747E-12   3.3909307200650134E-12
651583.3892261499         -2.143024356953218E-12   3.718643337305011E-12
655345.0211830379         -2.448623492063264E-12   4.108259583781695E-12
659128.3692782036         -2.754452387158535E-12   4.572877714435483E-12
662933.558880279          -3.0492287001418295E-12  5.127459421914604E-12
