% Model:              PLacek_MembTVNJ_ArticleDims_Rh100um_hg10um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:39
% Dimension:          1
% Nodes:              1801
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(xi)
6.73369724773406E-5       1.922671262500436E-11
6.750704135413537E-5      1.9205837961491345E-11
6.767711023093013E-5      1.9184922375383267E-11
6.784717910772488E-5      1.916396586668012E-11
6.801724798451965E-5      1.9142968435381913E-11
6.818731686131441E-5      1.9121930081488642E-11
6.835738573810918E-5      1.9100850805000304E-11
6.852745461490394E-5      1.9079730853862783E-11
6.86975234916987E-5       1.9058570502552533E-11
6.886759236849347E-5      1.9037369751069556E-11
6.903766124528822E-5      1.901612859941385E-11
6.920773012208298E-5      1.8994847047585423E-11
6.937779899887774E-5      1.8973525095584264E-11
6.954786787567251E-5      1.895216299437978E-11
6.971793675246727E-5      1.8930761023483615E-11
6.988800562926202E-5      1.8909319182895763E-11
7.005807450605679E-5      1.8887837472616232E-11
7.022814338285155E-5      1.8866315892645018E-11
7.039821225964631E-5      1.884475444298212E-11
7.056828113644108E-5      1.8823153377578604E-11
7.073835001323584E-5      1.88015129811778E-11
7.09084188900306E-5       1.8779833253779706E-11
7.107848776682537E-5      1.875811419538433E-11
7.124855664362013E-5      1.873635580599167E-11
7.14186255204149E-5       1.8714558085601723E-11
7.158869439720966E-5      1.869272129110805E-11
7.175876327400443E-5      1.8670845712708747E-11
7.192883215079919E-5      1.8648931350403816E-11
7.209890102759395E-5      1.862697820419326E-11
7.226896990438872E-5      1.8604986274077082E-11
7.243903878118348E-5      1.8582955560055273E-11
7.260910765797824E-5      1.856088632191661E-11
7.277917653477301E-5      1.8538778855579397E-11
7.294924541156777E-5      1.851663316104364E-11
7.311931428836252E-5      1.8494449238309334E-11
7.32893831651573E-5       1.8472227087376482E-11
7.345945204195205E-5      1.8449966708245083E-11
7.362952091874681E-5      1.8427668363547497E-11
7.379958979554158E-5      1.8405332355225125E-11
7.396965867233633E-5      1.8382958683277976E-11
7.413972754913108E-5      1.8360547347706043E-11
