% Model:              PLacek_MembTVNJ_ArticleDims_Rh20um_hg5um_To2MHz_PHedit.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 22 2025, 10:54
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(xi)
1.8620381272945317E-4     3.0714639212070096E-11
1.86631617944756E-4       3.063228406273236E-11
1.870594231600588E-4      3.054853384345345E-11
1.874872283753616E-4      3.046338855423335E-11
1.879150335906644E-4      3.037684819507209E-11
1.8834283880596726E-4     3.0288912765969646E-11
1.8877064402127007E-4     3.019958226692603E-11
1.8919844923657287E-4     3.010885669794123E-11
1.8962625445187567E-4     3.0016772621580833E-11
1.9005405966717847E-4     2.992337093184526E-11
1.9048186488248125E-4     2.9828651628734496E-11
1.9090967009778408E-4     2.973261471224855E-11
1.9133747531308685E-4     2.9635260182387436E-11
1.9176528052838965E-4     2.953658803915113E-11
1.9219308574369245E-4     2.943659828253964E-11
1.9262089095899528E-4     2.9335330035921266E-11
1.9304869617429806E-4     2.923282639712208E-11
1.9347650138960086E-4     2.912908736614206E-11
1.939043066049037E-4      2.9024112942981235E-11
1.943321118202065E-4      2.8917903127639597E-11
1.947599170355093E-4      2.8810457920117127E-11
1.951877222508121E-4      2.8701777320413845E-11
1.9561552746611492E-4     2.8591902831295882E-11
1.960433326814177E-4      2.848087955802042E-11
1.964711378967205E-4      2.8368707500587465E-11
1.968989431120233E-4      2.825538665899701E-11
1.973267483273261E-4      2.8140917033249073E-11
1.9775455354262893E-4     2.8025298623343624E-11
1.9818235875793174E-4     2.790853142928069E-11
1.9861016397323456E-4     2.779065914248992E-11
1.9903796918853734E-4     2.767172867150804E-11
1.9946577440384014E-4     2.7551740016335054E-11
1.9989357961914297E-4     2.7430693176970958E-11
2.0032138483444577E-4     2.7308588153415763E-11
2.0074919004974857E-4     2.7185424945669447E-11
2.0117699526505138E-4     2.706120355373203E-11
2.0160480048035418E-4     2.6935969658474295E-11
2.02032605695657E-4       2.680977176070246E-11
2.024604109109598E-4      2.6682609860416522E-11
2.0288821612626264E-4     2.6554483957616492E-11
2.0331602134156544E-4     2.6425394052302375E-11
2.0374382655686824E-4     2.6295340144474145E-11
2.0417163177217107E-4     2.6164322234131828E-11
2.0459943698747387E-4     2.603238778475273E-11
2.0502724220277665E-4     2.589958667247247E-11
2.0545504741807945E-4     2.5765918897291037E-11
2.0588285263338225E-4     2.5631384459208442E-11
2.0631065784868508E-4     2.5495983358224688E-11
2.0673846306398786E-4     2.5359715594339756E-11
2.0716626827929066E-4     2.5222581167553668E-11
2.0759407349459349E-4     2.5084629110409676E-11
2.080218787098963E-4      2.4945910452451535E-11
2.084496839251991E-4      2.480642519367925E-11
2.0887748914050192E-4     2.4666173334092813E-11
2.0930529435580472E-4     2.4525154873692234E-11
2.0973309957110755E-4     2.43833698124775E-11
2.1016090478641035E-4     2.4240818150448623E-11
2.1058871000171318E-4     2.4097550269905406E-11
2.1101651521701598E-4     2.3953618127864493E-11
2.1144432043231876E-4     2.3809021724325883E-11
