% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:08
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
7.26890756302521E-5       9.494253561396824E-11
7.310924369747899E-5      9.475201890309748E-11
7.352941176470588E-5      9.456066800948641E-11
7.394957983193276E-5      9.436849707804543E-11
7.436974789915967E-5      9.417552335844764E-11
7.478991596638655E-5      9.398174685069297E-11
7.521008403361343E-5      9.378716755478149E-11
7.563025210084034E-5      9.359178547071316E-11
7.605042016806723E-5      9.3395600598488E-11
7.647058823529412E-5      9.3198612938106E-11
7.689075630252102E-5      9.30008371220702E-11
7.73109243697479E-5       9.280229079197859E-11
7.773109243697479E-5      9.260297394783115E-11
7.815126050420167E-5      9.24028865896279E-11
7.857142857142857E-5      9.220202871736882E-11
7.899159663865546E-5      9.20004003310539E-11
7.941176470588235E-5      9.179800143068315E-11
7.983193277310923E-5      9.159484711716166E-11
8.025210084033613E-5      9.139095540222321E-11
8.067226890756302E-5      9.118632628586777E-11
8.10924369747899E-5       9.098095976809541E-11
8.151260504201682E-5      9.077485584890608E-11
8.19327731092437E-5       9.056801452829978E-11
8.23529411764706E-5       9.036043580627653E-11
8.277310924369749E-5      9.015213523282978E-11
8.319327731092437E-5      8.994313116710639E-11
8.361344537815127E-5      8.973342360910632E-11
8.403361344537815E-5      8.952301255882964E-11
8.445378151260505E-5      8.93118980162763E-11
8.487394957983195E-5      8.91000799814463E-11
8.529411764705883E-5      8.888755845433965E-11
8.571428571428573E-5      8.867434941663468E-11
8.613445378151261E-5      8.846047154861634E-11
8.655462184873949E-5      8.824592485028462E-11
8.697478991596639E-5      8.803070932163955E-11
8.739495798319329E-5      8.78148249626811E-11
8.781512605042018E-5      8.75982717734093E-11
8.823529411764706E-5      8.738104975382411E-11
8.865546218487395E-5      8.716317531360003E-11
8.907563025210084E-5      8.694466740877644E-11
8.949579831932774E-5      8.67255260393533E-11
8.991596638655461E-5      8.650575120533066E-11
9.033613445378152E-5      8.628534290670848E-11
9.075630252100842E-5      8.606430114348679E-11
9.11764705882353E-5       8.584262591566558E-11
9.15966386554622E-5       8.562033413987651E-11
9.201680672268908E-5      8.539744489216153E-11
9.243697478991596E-5      8.517395817252063E-11
9.285714285714286E-5      8.494987398095381E-11
9.327731092436976E-5      8.472519231746109E-11
9.369747899159665E-5      8.449991318204246E-11
9.411764705882353E-5      8.427403657469791E-11
9.453781512605042E-5      8.404758047617123E-11
9.495798319327731E-5      8.38205632877781E-11
9.53781512605042E-5       8.359298500951844E-11
9.57983193277311E-5       8.336484564139231E-11
9.621848739495799E-5      8.313614518339972E-11
9.663865546218487E-5      8.290688363554063E-11
9.705882352941177E-5      8.267706099781506E-11
9.747899159663867E-5      8.244669775149513E-11
9.789915966386555E-5      8.2215810577885E-11
9.831932773109245E-5      8.198439947698462E-11
9.873949579831933E-5      8.175246444879408E-11
9.915966386554623E-5      8.152000549331332E-11
9.957983193277312E-5      8.128702261054234E-11
1.0E-4                    8.105351580048115E-11
1.004264392324094E-4      8.081600406394502E-11
1.0085287846481877E-4     8.057799326481582E-11
1.0127931769722815E-4     8.033948340309354E-11
1.0170575692963754E-4     8.010047447877816E-11
1.0213219616204692E-4     7.986096649186975E-11
1.025586353944563E-4      7.962095944236823E-11
1.0298507462686569E-4     7.938045333027365E-11
1.0341151385927508E-4     7.913946064328392E-11
1.0383795309168445E-4     7.889800847103197E-11
1.0426439232409383E-4     7.865609681351775E-11
1.0469083155650321E-4     7.841372567074128E-11
1.0511727078891259E-4     7.81708950427026E-11
1.0554371002132197E-4     7.792760492940162E-11
1.0597014925373135E-4     7.768385533083843E-11
1.0639658848614073E-4     7.743966330453477E-11
1.0682302771855012E-4     7.719505167033748E-11
1.0724946695095948E-4     7.695002042824654E-11
1.0767590618336888E-4     7.670456957826198E-11
1.0810234541577824E-4     7.645869912038377E-11
1.0852878464818763E-4     7.621240905461191E-11
1.0895522388059701E-4     7.596569938094643E-11
1.093816631130064E-4      7.571858918398524E-11
1.0980810234541578E-4     7.547110007231814E-11
1.1023454157782515E-4     7.52232320459451E-11
1.1066098081023454E-4     7.497498510486616E-11
1.1108742004264393E-4     7.472635924908133E-11
1.115138592750533E-4      7.447735447859054E-11
1.1194029850746269E-4     7.422797079339384E-11
1.1236673773987208E-4     7.397822782452782E-11
1.1279317697228145E-4     7.372814703240254E-11
1.1321961620469083E-4     7.347772841701797E-11
1.1364605543710021E-4     7.322697197837411E-11
1.1407249466950959E-4     7.297587771647103E-11
1.1449893390191897E-4     7.272444563130862E-11
1.1492537313432836E-4     7.247267572288696E-11
1.1535181236673775E-4     7.222058788027949E-11
1.1577825159914712E-4     7.196820358395568E-11
1.162046908315565E-4      7.171552283391548E-11
1.1663113006396588E-4     7.146254563015894E-11
1.1705756929637526E-4     7.12092719726861E-11
1.1748400852878464E-4     7.095570186149685E-11
1.1791044776119402E-4     7.070183529659126E-11
1.1833688699360342E-4     7.044769234938306E-11
1.187633262260128E-4      7.019329452582105E-11
1.1918976545842218E-4     6.993864182590521E-11
1.1961620469083157E-4     6.968373424963552E-11
1.2004264392324095E-4     6.942857179701205E-11
1.2046908315565034E-4     6.917315446803473E-11
1.2089552238805972E-4     6.891748226270359E-11
1.2132196162046911E-4     6.866157539740269E-11
1.2174840085287848E-4     6.840545537951775E-11
1.2217484008528786E-4     6.814912220904876E-11
1.2260127931769724E-4     6.789257588599572E-11
1.2302771855010662E-4     6.763581641035867E-11
1.23454157782516E-4       6.737884378213755E-11
1.2388059701492538E-4     6.71216580013324E-11
1.2430703624733477E-4     6.686427939846023E-11
1.2473347547974415E-4     6.66067294531046E-11
1.2515991471215353E-4     6.634900816526553E-11
1.255863539445629E-4      6.609111553494299E-11
1.260127931769723E-4      6.583305156213703E-11
1.2643923240938167E-4     6.55748162468476E-11
1.2686567164179105E-4     6.531640958907472E-11
1.2729211087420043E-4     6.505785200360143E-11
1.2771855010660981E-4     6.479916491207882E-11
1.281449893390192E-4      6.454034831450688E-11
1.2857142857142858E-4     6.428140221088563E-11
1.2899786780383796E-4     6.402232660121507E-11
1.2942430703624734E-4     6.376312148549517E-11
1.2985074626865672E-4     6.350378686372598E-11
1.302771855010661E-4      6.324434320513981E-11
1.3070362473347548E-4     6.298481184321095E-11
1.3113006396588486E-4     6.27251927779394E-11
