% Model:              ModelMicPlate_Rh100um_hg10um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 12 2025, 09:08
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(w2)
1.3624733475479743E-4     6.87819320106391E-12
1.3667377398720682E-4     6.8420650229096796E-12
1.371002132196162E-4      6.805968674384929E-12
1.3752665245202558E-4     6.7699041554896585E-12
1.3795309168443496E-4     6.7338714662238685E-12
1.3837953091684434E-4     6.6978706065875545E-12
1.3880597014925372E-4     6.661901576580721E-12
1.392324093816631E-4      6.625967719842337E-12
1.3965884861407248E-4     6.590072223839761E-12
1.4008528784648186E-4     6.554215088572992E-12
1.4051172707889124E-4     6.518396314042033E-12
1.4093816631130063E-4     6.482615900246883E-12
1.4136460554371E-4        6.4468738471875384E-12
1.417910447761194E-4      6.411170154864004E-12
1.422174840085288E-4      6.375508101887185E-12
1.4264392324093815E-4     6.339890782131466E-12
1.4307036247334753E-4     6.304318195596846E-12
1.4349680170575694E-4     6.268790342283324E-12
1.4392324093816635E-4     6.233307222190904E-12
1.443496801705757E-4      6.197868835319581E-12
1.447761194029851E-4      6.162475181669358E-12
1.452025586353945E-4      6.127129468890724E-12
1.4562899786780387E-4     6.091834692501747E-12
1.4605543710021325E-4     6.0565908525024235E-12
1.4648187633262263E-4     6.021397948892754E-12
1.4690831556503201E-4     5.986255981672743E-12
1.473347547974414E-4      5.951164950842383E-12
1.4776119402985075E-4     5.91612485640168E-12
1.4818763326226013E-4     5.881138829408337E-12
1.486140724946695E-4      5.846209762523984E-12
1.490405117270789E-4      5.811337655748618E-12
1.4946695095948827E-4     5.776522509082241E-12
1.4989339019189766E-4     5.7417643225248535E-12
1.5031982942430704E-4     5.7070630960764544E-12
1.5074626865671642E-4     5.672418829737043E-12
1.511727078891258E-4      5.637834572625225E-12
1.5159914712153518E-4     5.603313110299811E-12
1.5202558635394456E-4     5.568854442760801E-12
1.5245202558635394E-4     5.534458570008194E-12
1.5287846481876332E-4     5.500125492041994E-12
1.533049040511727E-4      5.4658552088621965E-12
1.5373134328358208E-4     5.4316477204688045E-12
1.5415778251599147E-4     5.397505988971061E-12
1.5458422174840087E-4     5.363432688821656E-12
1.5501066098081023E-4     5.32942782002059E-12
1.5543710021321964E-4     5.295491382567864E-12
1.5586353944562902E-4     5.261623376463477E-12
1.5628997867803837E-4     5.2278238017074284E-12
1.5671641791044778E-4     5.19409265829972E-12
1.5714285714285716E-4     5.160432816533323E-12
1.5756929637526654E-4     5.1268468359889675E-12
1.5799573560767592E-4     5.09333471666665E-12
1.584221748400853E-4      5.0598964585663736E-12
1.5884861407249468E-4     5.0265320616881396E-12
1.5927505330490407E-4     4.993241526031943E-12
1.5970149253731345E-4     4.960024851597789E-12
