% Model:              ModelMicPlate_Rh20um_hg5um_Refined_MaterialDefPolySilicon.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 21 2025, 13:46
% Dimension:          1
% Nodes:              708
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(w2)
1.868085106382978E-4      -3.520545547384131E-11
1.8723404255319143E-4     -3.4994983779538216E-11
1.8765957446808504E-4     -3.4784732202538934E-11
1.8808510638297862E-4     -3.4574700742843464E-11
1.8851063829787226E-4     -3.4364889400451825E-11
1.8893617021276585E-4     -3.4155298175364004E-11
1.8936170212765949E-4     -3.394592706757999E-11
1.897872340425531E-4      -3.37367760770998E-11
1.9021276595744673E-4     -3.352785892794274E-11
1.9063829787234032E-4     -3.331919024707733E-11
1.9106382978723393E-4     -3.3110770034503566E-11
1.9148936170212757E-4     -3.2902598290221453E-11
1.9191489361702115E-4     -3.2694675014231E-11
1.923404255319148E-4      -3.248700020653218E-11
1.927659574468084E-4      -3.2279573867125025E-11
1.93191489361702E-4       -3.207240983854626E-11
1.9361702127659562E-4     -3.186552285779469E-11
1.9404255319148926E-4     -3.1658912924870296E-11
1.9446808510638287E-4     -3.14525800397731E-11
1.9489361702127649E-4     -3.124652420250309E-11
1.953191489361701E-4      -3.104074541306026E-11
1.957446808510637E-4      -3.083524367144462E-11
1.9617021276595732E-4     -3.0630032937346305E-11
1.9659574468085096E-4     -3.0425128056652046E-11
1.9702127659574454E-4     -3.022052902936185E-11
1.9744680851063818E-4     -3.0016235855475697E-11
1.978723404255318E-4      -2.981224853499362E-11
1.9829787234042543E-4     -2.9608567067915575E-11
1.9872340425531904E-4     -2.9405191454241595E-11
1.9914893617021268E-4     -2.92021357694919E-11
1.9957446808510626E-4     -2.899941496733661E-11
1.9999999999999987E-4     -2.8797029047775714E-11
2.004255319148935E-4      -2.8594978010809214E-11
2.0085106382978715E-4     -2.8393261856437122E-11
2.0127659574468076E-4     -2.819188058465942E-11
2.0170212765957437E-4     -2.799083419547612E-11
2.02127659574468E-4       -2.779013687895439E-11
2.0255319148936162E-4     -2.758980369548131E-11
2.029787234042552E-4      -2.738983464505687E-11
2.0340425531914887E-4     -2.719022972768108E-11
2.0382978723404246E-4     -2.6990988943353946E-11
2.042553191489361E-4      -2.6792112292075448E-11
2.046808510638297E-4      -2.6593599773845605E-11
2.0510638297872332E-4     -2.639546569203522E-11
2.0553191489361693E-4     -2.6197725212720305E-11
2.0595744680851054E-4     -2.6000378335900856E-11
2.0638297872340415E-4     -2.580342506157688E-11
2.0680851063829776E-4     -2.5606865389748378E-11
2.0723404255319137E-4     -2.541069932041534E-11
2.0765957446808498E-4     -2.5214926853577774E-11
2.080851063829786E-4      -2.501956240470643E-11
2.085106382978722E-4      -2.4824621244576986E-11
2.0893617021276582E-4     -2.4630103373189433E-11
2.0936170212765946E-4     -2.4436008790543773E-11
2.097872340425531E-4      -2.4242337496640025E-11
2.1021276595744668E-4     -2.4049089491478157E-11
2.1063829787234032E-4     -2.3856264775058192E-11
2.1106382978723393E-4     -2.3663877873786593E-11
2.1148936170212754E-4     -2.3471944162189088E-11
2.1191489361702115E-4     -2.328046364026567E-11
2.1234042553191476E-4     -2.3089436308016335E-11
2.1276595744680837E-4     -2.2898862165441107E-11
2.1319148936170198E-4     -2.2708741212539957E-11
